ResponseId,WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Gender,Age,Formal Education,Degree Status,Major,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Q31_NPS_GROUP,Competition NPS,Q33_1,Q33_2,Q33_3,Q33_4,Prepared_Environment,Prepared_Rules,Prepared_Role,Prepared_Actions,Prepared_Communication,Prepared_Ethics,Scenario_Iterate,Scenario_OptionSelect_ParentTopics,Team ID,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q27_NPS_GROUP,Q27,Q28_NPS_GROUP,Q28,Q29_NPS_GROUP,Q29
"{""ImportId"":""_recordId""}",,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2017_6""}","{""ImportId"":""QID2017_7""}","{""ImportId"":""QID2017_8""}","{""ImportId"":""QID2019_NPS_GROUP""}","{""ImportId"":""QID2019""}","{""ImportId"":""QID2021_1""}","{""ImportId"":""QID2021_2""}","{""ImportId"":""QID2021_3""}","{""ImportId"":""QID2021_4""}",,,,,,,"{""ImportId"":""QID2005""}","{""ImportId"":""QID8_TEXT_98d09e12885144e18ddbbbc2ParTopics""}","{""ImportId"":""QID2024""}","{""ImportId"":""QID2019_0""}","{""ImportId"":""QID2019_11""}","{""ImportId"":""QID2019_12""}",,,,,"{""ImportId"":""QID2025""}","{""ImportId"":""QID2026""}","{""ImportId"":""QID2027""}","{""ImportId"":""QID2028""}","{""ImportId"":""QID2029""}","{""ImportId"":""QID2033_11""}","{""ImportId"":""QID2033_12""}","{""ImportId"":""QID2033_13""}","{""ImportId"":""QID2033_15""}","{""ImportId"":""QID2033_16""}","{""ImportId"":""QID2036_NPS_GROUP""}","{""ImportId"":""QID2036""}","{""ImportId"":""QID2037_NPS_GROUP""}","{""ImportId"":""QID2037""}","{""ImportId"":""QID2038_NPS_GROUP""}","{""ImportId"":""QID2038""}"
R_1IK05urHfBxFTN4,5.0,10/11/2020 15:12,10/11/2020 15:14,0,24.243.153.206,100,122,1,10/11/2020 15:14,,,,,30.2881011962890625,-97.76399994,anonymous,EN,1,2,1,2,1,Computer Science,7,4,2,7,2,5,1,3,,,,,0.23,0.09,0.48,0.04,0.05,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_6tHH8Dpu8PLCFqx,5.0,10/11/2020 15:11,10/11/2020 15:16,0,184.88.41.170,100,329,1,10/11/2020 15:16,,,,,28.5503997802734375,-81.1832962,qr,EN,1,2,1,1,1,CS,7,3,1,2,7,7,1,3,,,,,0.49,1.0,0.22,0.2,0.07,0.75,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1KkkNUIqHmjgDuH,5.0,10/11/2020 15:10,10/11/2020 15:16,0,174.240.7.146,100,363,1,10/11/2020 15:16,,,,,29.7375946044921875,-95.52100372,qr,EN,1,1,1,1,1,Electronics Systems Engineering,1,1,,4,0,4,3,10,,,,,0.85,1.0,1.0,0.73,1.0,0.9,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_33fnSuMUaSJEGno,5.0,10/11/2020 15:15,10/11/2020 15:17,0,24.136.51.226,100,117,1,10/11/2020 15:17,,,,,29.7747955322265625,-82.38459778,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1NFERA3AuRTo4wW,5.0,10/11/2020 15:11,10/11/2020 15:17,0,50.30.210.22,100,343,1,10/11/2020 15:17,,,,,30.6031951904296875,-96.31359863,qr,EN,1,2,1,1,1,Computer Engineering,1,5,0,5,0,7,2,8,,,,,1.0,1.0,0.6,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_3L1iLhzgee6GRzW,5.0,10/11/2020 15:10,10/11/2020 15:17,0,70.168.101.125,100,456,1,10/11/2020 15:17,,,,,29.613800048828125,-82.38600159,qr,EN,1,2,1,2,1,Computer Science,3,4,3,7,0,3,3,10,,,,,0.33,0.91,0.66,0.43,0.92,0.36,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QzwI3Lz12Ek7L6,5.0,10/11/2020 15:10,10/11/2020 15:17,0,70.171.53.239,100,448,1,10/11/2020 15:17,,,,,29.6475067138671875,-82.40399933,qr,EN,1,2,1,2,1,Computer science ,7,7,4,3,0,7,2,8,,,,,0.9,1.0,1.0,0.91,0.93,0.79,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1dEK2fowVCEtMmZ,5.0,10/11/2020 15:11,10/11/2020 15:17,0,107.77.216.181,100,360,1,10/11/2020 15:17,,,,,28.63439941,-81.62210083,qr,EN,1,2,1,4,3,Computer Science,7,4,3,3,0,7,2,7,,,,,1.0,0.68,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2TX0McqEJnkhwnd,5.0,10/11/2020 15:11,10/11/2020 15:18,0,68.110.189.38,100,430,1,10/11/2020 15:18,,,,,41.313995361328125,-81.67559814,qr,EN,1,2,3,4,3,Cyber security analysis ,7,2,1,4,2,2,2,8,,,,,0.29,0.28,0.51,0.33,0.44,0.67,2,,,,,,,,,,,,,,,,,,,,,,,,,
