StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Major,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent to Research



Your participation in the Collegiate Penetration Testing Competition (CPTC) and related research is entirely voluntary. With your consent, the packet captures, flow and log data, images and communications associated with your participation in the CPTC will be stored and used for future academic research.



This data collection for research purposes is anonymous, which means that your name and personal information will not be matched to your data profile when the data are used for research purposes. If you agree to take part in data collection during this competition, you will be assigned a random number that will be used on each survey, interview and associated with each data segment. There will be no way to link your results back to you. Therefore, data collection is anonymous.



During the administrative processes associated with registering for this competition, you are required to provide personal information. To the extent allowed by law, we limit the viewing of your personal information to only those people who have a need to review it. We cannot promise complete secrecy. The Institutional Review Board, Rochester Institute of Technology and its affiliates, and other representatives of these organizations may inspect a copy of your information. Upon completion of this data collection project, your personal data will be kept for no longer than three years, after which they will be erased. If reports of studies resulting from your participation in this competition are published, or the results are presented at professional conferences, only group results or excerpts of individual data captures will be stated, without any reference to your personally identifying information.



If you decide not to take part in data collection for research purposes, it will not affect your relationship with the research investigators or the competition administrators. No risks are anticipated from taking part in this competition or allowing your data to be collected for research purposes. If for any reason, at any time, you wish to stop participation in data collection for research, you may do so without having to provide explanation and without affecting your relationship with the investigators and competition administrators, or your team’s performance in the competition. You will not receive any direct benefit for participating in this research. The research will provide a more plausible understanding of cybercrimes and penetration testing education, thereby contributing to the areas of internal and external cybersecurity measures.



If you have any questions, concerns, or complaints, or think that the data collection for research purposes has hurt you, please contact the competition director at:



Dr. Justin Pelletier

202-591-7140 (mobile) / justin.m.pelletier@rit.edu 

Professor of Practice andDirector, Cyber Range and Training Center

Global Cybersecurity Institute

Rochester Institute of Technology, Rochester, NY 14623

 

Do you consent to participate in this research?",What was your team number at this year's finals?,Please select your gender:,Please select your age group:,Please select your current degree status,My major is:,How many years have you received formal education in cybersecurity?,"How experienced, confident, and prepared are you? - How many security competitions have you participated in (not including this year's CPTC)?","How experienced, confident, and prepared are you? - How confident are you that you currently have the skills to be an effective penetration tester (1 = low, 7 = high)","How experienced, confident, and prepared are you? - How many years of penetration testing experience do you have?","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Neurodiversity* is a term used to describe the range of differences in individual brain function and behavioral traits. It is regarded as part of normal variation in the human population and used especially in the context of *autistic spectrum* disorders.","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Physical disability* indicates any physical limitations or disabilities that inhibit the physical function of one or more limbs such as arms or legs, or physical senses such as sight or hearing.","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Psychiatric disabilities* cover a wide range of conditions, including eating disorders, post- traumatic stress disorder, anxiety disorders, depression, and other psychiatric conditions.","To what extent do the members of your team differ in their way
of thinking?",To what extent do the members of your team differ in their knowledge and skills?,To what extent do the members of your team differ in how they view the world?,To what extent do the members of your team differ in their beliefs about what is right and wrong?,"To what extent do you agree with the following statement: ""My Coach and Captain keep me informed.""?","To what extent do you agree with the following statement: ""Sharing of knowledge is encouraged by my team in actions and not only in words.""?","To what extent do you agree with the following statement: ""We are continuously encouraged to bring new knowledge into the team.""?","To what extent do you agree with the following statement: ""We are encouraged to say what we think even if it means disagreeing with the Coach or Captain.""?","To what extent do you agree with the following statement: ""Open communication is characteristic of the team as a whole.""?","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Planning (Define scope and threat models)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Scanning (Enumerate potential vulnerabilities in information systems)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Execution (Emulate an attacker to determine which vulnerabilities could be exploited)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Analysis (Consider business impacts of successful exploits)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Output (Pentest reports provide actionable insights about organizational risk)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2024""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2019_0""}","{""ImportId"":""QID2019_11""}","{""ImportId"":""QID2019_12""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2022""}","{""ImportId"":""QID2021""}","{""ImportId"":""QID2023""}","{""ImportId"":""QID2025""}","{""ImportId"":""QID2026""}","{""ImportId"":""QID2027""}","{""ImportId"":""QID2028""}","{""ImportId"":""QID2029""}","{""ImportId"":""QID2033_11""}","{""ImportId"":""QID2033_12""}","{""ImportId"":""QID2033_13""}","{""ImportId"":""QID2033_15""}","{""ImportId"":""QID2033_16""}"
2025-01-20 06:30:18,2025-01-20 06:30:25,IP Address,129.21.255.82,100,7,True,2025-01-20 06:30:25,R_71YKcYKZYMz9UbF,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-20 06:30:12,2025-01-20 06:33:37,IP Address,166.194.188.109,100,205,True,2025-01-20 06:33:38,R_3EnjfVdKH5gSIiq,,,,,41.8719,-87.6589,anonymous,EN,Yes,Team 7,Male,18-24,Undergraduate/Full Time,,3+ years,5,5,4,1,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a very large extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,2,5,5
2025-01-20 06:30:15,2025-01-20 06:33:40,IP Address,174.234.225.119,100,205,True,2025-01-20 06:33:41,R_3WFtvrWVuthYc7v,,,,,42.9685,-78.7492,anonymous,EN,Yes,Team 7,Male,18-24,Undergraduate/Full Time,Computer Science,3+ years,7,5,2,3,2,2,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Agree,Agree,Agree,Agree,Agree,2,1,1,3,2
2025-01-20 06:30:05,2025-01-20 06:34:44,IP Address,129.21.255.80,100,279,True,2025-01-20 06:34:45,R_5KUBYJxjgP9hnHk,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 9,Male,18-24,Undergraduate/Full Time,Computer Science and Engineering,0 years,7,4,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Agree,Strongly Agree,Agree,Agree,1,1,1,1,1
2025-01-20 06:30:18,2025-01-20 06:34:55,IP Address,174.208.34.23,100,276,True,2025-01-20 06:34:56,R_7i3aBfRFND7wuXh,,,,,43.0446,-78.7829,anonymous,EN,Yes,Team 7,Male,18-24,Undergraduate/Full Time,"Computer Science ",1 year,5,5,1,2,1,2,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,3,3,3,3,3
2025-01-20 06:33:53,2025-01-20 06:38:22,IP Address,166.194.188.8,100,269,True,2025-01-20 06:38:23,R_52OdS6a4iKtV6jn,,,,,41.8719,-87.6589,anonymous,EN,Yes,Team 7,Other/Prefer not to answer,18-24,Undergraduate/Full Time,Computer Science,2 years,2,3,1,3,1,5,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a very large extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a very small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,1,1,1,1,2
2025-01-20 06:43:23,2025-01-20 06:46:07,IP Address,166.194.188.52,100,164,True,2025-01-20 06:46:08,R_66hCPhVPd5sH16z,,,,,41.8719,-87.6589,anonymous,EN,Yes,Team 12,Male,18-24,Undergraduate/Full Time,Cyber Operations,3+ years,7,6,2,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a moderate extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1,2,2,2
2025-01-20 06:40:08,2025-01-20 06:46:14,IP Address,174.234.250.222,100,366,True,2025-01-20 06:46:14,R_1ay7JmlnoSpI3MA,,,,,42.9685,-78.7492,anonymous,EN,Yes,Team 12,Female,18-24,Undergraduate/Full Time,"Cyber Operations ",3+ years,7,4,1,1,1,1,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Agree,Strongly Disagree,Agree,Agree,Agree,1,1,1,5,2
