StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Major,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q30,Q27_NPS_GROUP,Q27,Q28_NPS_GROUP,Q28,Q29_NPS_GROUP,Q29,OC-1,OC-2,OC-3,OC-4,OC-5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent to Research



Your participation in the Collegiate Penetration Testing Competition (CPTC) and related research is entirely voluntary. With your consent, the packet captures, flow and log data, images and communications associated with your participation in the CPTC will be stored and used for future academic research.



This data collection for research purposes is anonymous, which means that your name and personal information will not be matched to your data profile when the data are used for research purposes. If you agree to take part in data collection during this competition, you will be assigned a random number that will be used on each survey, interview and associated with each data segment. There will be no way to link your results back to you. Therefore, data collection is anonymous.



During the administrative processes associated with registering for this competition, you are required to provide personal information. To the extent allowed by law, we limit the viewing of your personal information to only those people who have a need to review it. We cannot promise complete secrecy. The Institutional Review Board, Rochester Institute of Technology and its affiliates, and other representatives of these organizations may inspect a copy of your information. Upon completion of this data collection project, your personal data will be kept for no longer than three years, after which they will be erased. If reports of studies resulting from your participation in this competition are published, or the results are presented at professional conferences, only group results or excerpts of individual data captures will be stated, without any reference to your personally identifying information.



If you decide not to take part in data collection for research purposes, it will not affect your relationship with the research investigators or the competition administrators. No risks are anticipated from taking part in this competition or allowing your data to be collected for research purposes. If for any reason, at any time, you wish to stop participation in data collection for research, you may do so without having to provide explanation and without affecting your relationship with the investigators and competition administrators, or your team’s performance in the competition. You will not receive any direct benefit for participating in this research. The research will provide a more plausible understanding of cybercrimes and penetration testing education, thereby contributing to the areas of internal and external cybersecurity measures.



If you have any questions, concerns, or complaints, or think that the data collection for research purposes has hurt you, please contact the competition's research director at:



Dr. Justin Pelletier

202-591-7140 (mobile) / justin.m.pelletier@rit.edu 

Professor of Practice andDirector, Cyber Range and Training Center

Global Cybersecurity Institute

Rochester Institute of Technology, Rochester, NY 14623

 

Do you consent to participate in this research?",What was your team number at this year's finals?,Please select your gender:,Please select your age group:,Please select your current degree status,My major is:,How many years have you received formal education in cybersecurity?,"How experienced, confident, and prepared are you? - How many security competitions have you participated in (not including this year's CPTC)?","How experienced, confident, and prepared are you? - How confident are you that you currently have the skills to be an effective penetration tester (1 = low, 7 = high)","How experienced, confident, and prepared are you? - How many years of penetration testing experience do you have?","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Neurodiversity* is a term used to describe the range of differences in individual brain function and behavioral traits. It is regarded as part of normal variation in the human population and used especially in the context of *autistic spectrum* disorders.","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Physical disability* indicates any physical limitations or disabilities that inhibit the physical function of one or more limbs such as arms or legs, or physical senses such as sight or hearing.","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Psychiatric disabilities* cover a wide range of conditions, including eating disorders, post- traumatic stress disorder, anxiety disorders, depression, and other psychiatric conditions.","To what extent do the members of your team differ in their way
of thinking?",To what extent do the members of your team differ in their knowledge and skills?,To what extent do the members of your team differ in how they view the world?,To what extent do the members of your team differ in their beliefs about what is right and wrong?,"Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Planning (Define scope and threat models)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Scanning (Enumerate potential vulnerabilities in information systems)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Execution (Emulate an attacker to determine which vulnerabilities could be exploited)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Analysis (Consider business impacts of successful exploits)","Consider your experiences with Artificial Intelligence (AI) during your preparation for the competition. Consider also your experiences with AI during the competition itself.


On a scale from 1-5, rate the amount of control or authority granted to the AI system for each phase of penetration testing, as depicted in this diagram:
















(1 = no control or authority granted to Artificial Intelligence,
                    5 = complete control or authority granted to Artificial Intelligence) - Output (Pentest reports provide actionable insights about organizational risk)",Please describe your use of Artificial Intelligence. What worked for you? What didn't work for you?,"When considering your TECHNICAL FINDINGS, how much would you recommend Artificial Intelligence as a useful *teammate* to a friend or colleague? - Group","When considering your TECHNICAL FINDINGS, how much would you recommend Artificial Intelligence as a useful *teammate* to a friend or colleague?","When considering your REPORT WRITING, how much would you recommend Artificial Intelligence as a useful *teammate* to a friend or colleague? - Group","When considering your REPORT WRITING, how much would you recommend Artificial Intelligence as a useful *teammate* to a friend or colleague?","When considering your PRESENTATION, how much would you recommend Artificial Intelligence as a useful *teammate* to a friend or colleague? - Group","When considering your PRESENTATION, how much would you recommend Artificial Intelligence as a useful *teammate* to a friend or colleague?","To what extent do you agree with the following statement: ""My Coach and Captain keep me informed.""?","To what extent do you agree with the following statement: ""Sharing of knowledge is encouraged by my team in actions and not only in words.""?","To what extent do you agree with the following statement: ""We are continuously encouraged to bring new knowledge into the team.""?","To what extent do you agree with the following statement: ""We are encouraged to say what we think even if it means disagreeing with the Coach or Captain.""?","To what extent do you agree with the following statement: ""Open communication is characteristic of the team as a whole.""?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2024""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2019_0""}","{""ImportId"":""QID2019_11""}","{""ImportId"":""QID2019_12""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2022""}","{""ImportId"":""QID2021""}","{""ImportId"":""QID2023""}","{""ImportId"":""QID2033_11""}","{""ImportId"":""QID2033_12""}","{""ImportId"":""QID2033_13""}","{""ImportId"":""QID2033_15""}","{""ImportId"":""QID2033_16""}","{""ImportId"":""QID2039_TEXT""}","{""ImportId"":""QID2036_NPS_GROUP""}","{""ImportId"":""QID2036""}","{""ImportId"":""QID2037_NPS_GROUP""}","{""ImportId"":""QID2037""}","{""ImportId"":""QID2038_NPS_GROUP""}","{""ImportId"":""QID2038""}","{""ImportId"":""QID2025""}","{""ImportId"":""QID2026""}","{""ImportId"":""QID2027""}","{""ImportId"":""QID2028""}","{""ImportId"":""QID2029""}"
2026-01-10 23:12:10,2026-01-10 23:15:12,Survey Preview,,100,182,True,2026-01-10 23:15:13,R_1ImxrCU4X7pvaU8,,,,,43.0908,-77.4348,preview,EN,Yes,Team 8,Male,40-44,Graduate/Full Time,Cybersecurity,3+ years,2,3,5,2,,,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,4,2,2,4,2,,Passive,7,Detractor,2,Passive,7,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
2026-01-10 23:34:37,2026-01-10 23:35:27,IP Address,66.66.118.19,100,49,True,2026-01-10 23:35:27,R_6oAWOB2B2VO7HII,,,,,43.0908,-77.4348,anonymous,EN,Yes,Team 6,Male,40-44,Graduate/Part Time,,,4,4,4,3,,,,,,,3,3,3,3,3,,,,,,,,Agree,Agree,Agree,Agree,Agree
2026-01-11 09:51:32,2026-01-11 09:51:41,IP Address,174.208.34.34,100,9,True,2026-01-11 09:51:41,R_7qDj7uVfm3tLuDI,,,,,43.1394,-77.6463,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11 09:51:42,2026-01-11 09:51:57,IP Address,129.21.255.84,100,14,True,2026-01-11 09:51:57,R_5qqve6g6e3iRiJD,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11 09:51:46,2026-01-11 09:52:05,IP Address,129.21.255.85,100,19,True,2026-01-11 09:52:05,R_7S9A4df6VgZVVKh,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11 09:51:58,2026-01-11 09:52:06,IP Address,129.21.255.102,100,8,True,2026-01-11 09:52:06,R_7CONnAqtamqpSKA,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11 09:53:33,2026-01-11 09:54:01,IP Address,146.75.237.92,100,27,True,2026-01-11 09:54:01,R_1ieVlbDybitsOj2,,,,,43.1567,-77.6107,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11 09:54:30,2026-01-11 09:54:35,IP Address,129.21.255.81,100,4,True,2026-01-11 09:54:36,R_1lEzUFCGUi3pAYN,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
