StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Major,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent to Research



Your participation in the Collegiate Penetration Testing Competition (CPTC) and related research is entirely voluntary. With your consent, the packet captures, flow and log data, images and communications associated with your participation in the CPTC will be stored and used for future academic research.



This data collection for research purposes is anonymous, which means that your name and personal information will not be matched to your data profile when the data are used for research purposes. If you agree to take part in data collection during this competition, you will be assigned a random number that will be used on each survey, interview and associated with each data segment. There will be no way to link your results back to you. Therefore, data collection is anonymous.



During the administrative processes associated with registering for this competition, you are required to provide personal information. To the extent allowed by law, we limit the viewing of your personal information to only those people who have a need to review it. We cannot promise complete secrecy. The Institutional Review Board, Rochester Institute of Technology and its affiliates, and other representatives of these organizations may inspect a copy of your information. Upon completion of this data collection project, your personal data will be kept for no longer than three years, after which they will be erased. If reports of studies resulting from your participation in this competition are published, or the results are presented at professional conferences, only group results or excerpts of individual data captures will be stated, without any reference to your personally identifying information.



If you decide not to take part in data collection for research purposes, it will not affect your relationship with the research investigators or the competition administrators. No risks are anticipated from taking part in this competition or allowing your data to be collected for research purposes. If for any reason, at any time, you wish to stop participation in data collection for research, you may do so without having to provide explanation and without affecting your relationship with the investigators and competition administrators, or your team’s performance in the competition. You will not receive any direct benefit for participating in this research. The research will provide a more plausible understanding of cybercrimes and penetration testing education, thereby contributing to the areas of internal and external cybersecurity measures.



If you have any questions, concerns, or complaints, or think that the data collection for research purposes has hurt you, please contact the competition director at:



Dr. Justin Pelletier

202-591-7140 (mobile) / justin.m.pelletier@rit.edu 

Professor of Practice andDirector, Cyber Range and Training Center

Global Cybersecurity Institute

Rochester Institute of Technology, Rochester, NY 14623

 

Do you consent to participate in this research?",What was your team number at this year's region?,Please select your gender:,Please select your age group:,Please select your current degree status,My major is:,How many years have you received formal education in cybersecurity?,"How experienced, confident, and prepared are you? - How many security competitions have you participated in (not including this year's CPTC)?","How experienced, confident, and prepared are you? - How confident are you that you currently have the skills to be an effective penetration tester (1 = low, 7 = high)","How experienced, confident, and prepared are you? - How many years of penetration testing experience do you have?","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Neurodiversity* is a term used to describe the range of differences in individual brain function and behavioral traits. It is regarded as part of normal variation in the human population and used especially in the context of *autistic spectrum* disorders.","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Physical disability* indicates any physical limitations or disabilities that inhibit the physical function of one or more limbs such as arms or legs, or physical senses such as sight or hearing.","On a scale from 1-5, how likely are you to *categorize yourself* according to these definitions? 

(1 = this does not apply to me at all, 5 = this applies to me very much) - *Psychiatric disabilities* cover a wide range of conditions, including eating disorders, post- traumatic stress disorder, anxiety disorders, depression, and other psychiatric conditions.","To what extent do the members of your team differ in their way
of thinking?",To what extent do the members of your team differ in their knowledge and skills?,To what extent do the members of your team differ in how they view the world?,To what extent do the members of your team differ in their beliefs about what is right and wrong?,"To what extent do you agree with the following statement: ""My Coach and Captain keep me informed.""?","To what extent do you agree with the following statement: ""Sharing of knowledge is encouraged by my team in actions and not only in words.""?","To what extent do you agree with the following statement: ""We are continuously encouraged to bring new knowledge into the team.""?","To what extent do you agree with the following statement: ""We are encouraged to say what we think even if it means disagreeing with the Coach or Captain.""?","To what extent do you agree with the following statement: ""Open communication is characteristic of the team as a whole.""?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2024""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2019_0""}","{""ImportId"":""QID2019_11""}","{""ImportId"":""QID2019_12""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2022""}","{""ImportId"":""QID2021""}","{""ImportId"":""QID2023""}","{""ImportId"":""QID2025""}","{""ImportId"":""QID2026""}","{""ImportId"":""QID2027""}","{""ImportId"":""QID2028""}","{""ImportId"":""QID2029""}"
2024-01-14 12:24:05,2024-01-14 12:24:29,IP Address,129.21.255.73,100,23,True,2024-01-14 12:24:30,R_5jfAr3trFbVzrCy,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,
2024-01-14 12:24:32,2024-01-14 12:25:04,IP Address,166.194.188.102,100,31,True,2024-01-14 12:25:04,R_1KuAY4LA0gzT0Uv,,,,,40.7064,-73.9473,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,
2024-01-14 12:24:13,2024-01-14 12:26:55,IP Address,129.21.255.86,100,162,True,2024-01-14 12:26:56,R_6zVLxk9ePRhM7Qt,,,,,43.0801,-77.6342,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,
2024-01-14 12:24:56,2024-01-14 12:27:06,IP Address,174.208.34.225,100,130,True,2024-01-14 12:27:07,R_3ElQ5coXuLajVzt,,,,,42.9526,-78.895,anonymous,EN,Yes,Team 5,Male,18-24,Undergraduate/Part Time,"Life Science ",0 years,7,5,3,1,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skillsto a somewhat large extent.,The members of my team differ in how they view the world to a somewhat small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2024-01-14 12:24:53,2024-01-14 12:27:11,IP Address,129.21.255.106,100,138,True,2024-01-14 12:27:12,R_5NU6frxRUUV7dqF,,,,,43.0801,-77.6342,anonymous,EN,Yes,Team 9,Male,18-24,Graduate/Full Time,Cyber Defense,3+ years,6,6,3,2,1,1,The members of my team differ in their way of thinking to a very small extent.,The members of my team differ in their knowledge and skills to a moderate extent.,The members of my team differ in how they view the world to a very small extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
2024-01-14 12:24:53,2024-01-14 12:27:12,IP Address,174.208.40.71,100,138,True,2024-01-14 12:27:12,R_1HI9bTJHfedFlZS,,,,,42.9074,-78.8197,anonymous,EN,Yes,Team 5,Male,18-24,Undergraduate/Part Time,,3+ years,4,4,1,1,1,1,The members of my team differ in their way of thinking to a somewhat small extent.,The members of my team differ in their knowledge and skills to a somewhat small extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a small extent.,Agree,Agree,Agree,Strongly Agree,Strongly Agree
2024-01-14 12:25:03,2024-01-14 12:27:14,IP Address,166.192.43.35,100,130,True,2024-01-14 12:27:14,R_1pR1cjQzguiP4OL,,,,,43.0451,-76.1739,anonymous,EN,Yes,Team 6,Male,18-24,Undergraduate/Part Time,,1 year,3,1,3,1,1,1,The members of my team differ in their way of thinking to a somewhat large extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
2024-01-14 12:24:49,2024-01-14 12:27:16,IP Address,104.28.55.56,100,147,True,2024-01-14 12:27:17,R_5hFNqhRQp3xnW4E,,,,,43.1555,-77.6101,anonymous,EN,Yes,Team 10,Female,18-24,Undergraduate/Full Time,Computer Science,0 years,2,4,1,1,1,4,The members of my team differ in their way of thinking to a moderate extent.,The members of my team differ in their knowledge and skills to a large extent.,The members of my team differ in how they view the world to a moderate extent.,The members of my team differ in their beliefs about what is right and wrong to a somewhat small extent.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
